state,stateImg,parties,dateFiled,dateDecided,excerpt
California,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-california-01-1.png,"Election Integrity Project California v. Weber",2021-01-04,2023-07-18,"Lawsuit filed by an “election integrity” group, Election Integrity Project California (EIPCa), and voters, including two failed congressional and Senate candidates, against California Secretary of State Shirley Weber (D), California Attorney General Rob Bonta (D) and several county registrars of voters."
Texas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-texas-01-1.png,"Harris County v. Texas",2023-07-06,undefined,"Lawsuit filed on behalf of Harris County challenging a new law that targets Harris County election administration."
North Dakota,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-northdakota-01.png,"Splonskowski v. White",2023-07-05,undefined,"Lawsuit challenging a North Dakota law that allows mail-in ballots that are cast and postmarked on or before Election Day to arrive and be counted up to 13 days after Election Day."
Mississippi,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-mississippi-01-1.png,"Harness v. Watson",2017-09-28,2023-06-30,"Lawsuit challenging the felon disenfranchisement provision of the Mississippi Constitution."
Nevada,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-nevada-01-1.png,"Vanness v. Aguilar",2023-06-29,undefined,"Lawsuit filed by failed Republican attorney general candidate and Nevada Republican National Committeewoman, Sigal Chattah, on behalf of Nevada residents challenging Nevada’s recently enacted Election Worker Protection Law, Senate Bill 406."
Iowa,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-iowa-01-1.png,"League of United Latin American Citizens of Iowa v. Pate",2021-10-27,2023-06-29,"Lawsuit filed on behalf of LULAC of Iowa challenging the state’s failure to provide non-English election materials, specifically Spanish language materials, to voters with limited English proficiency."
Tennessee,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-tennessee-01-1.png,"Falls v. Goins",2020-07-17,2023-06-29,"Lawsuit challenging Tennessee law regarding out-of-state felony disenfranchisement."
Minnesota,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-minnesota-01-1.png,"Minnesota Voters Alliance v. Hunt",2023-06-28,undefined,"Lawsuit filed on behalf of a conservative group and three Minnesota residents challenging a set of recently enacted laws that restore voting rights Minnesotans on parole, probation or community release due to a felony conviction."
North Carolina,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-northcarolina-01-1.png,"Moore v. Harper",2021-11-18,2023-06-27,"Lawsuit decided by the U.S. Supreme Court regarding whether the North Carolina Supreme Court violated the Elections Clause of the U.S. Constitution when it reviewed and struck down the state’s congressional map drawn by the Legislature for violating the North Carolina Constitution."
Virginia,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-virginia-01-1.png,"King v. Youngkin",2023-06-26,undefined,"Lawsuit filed on behalf of Bridging The Gap In Virginia and three Virginia residents who are disenfranchised due to former felony convictions challenging the Virginia Constitution’s felony disenfranchisement provision."
Ohio,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-ohio-01-1.png,"One Person One Vote v. LaRose",2023-05-12,2023-06-16,"Petition challenging an August election on Senate Joint Resolution 2, a proposed amendment to the Ohio Constitution that would increase the threshold to pass constitutional amendments from 50% to 60%."
Washington,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-washington-01.png,"Portugal v. Franklin County",2021-04-22,2023-06-15,"Lawsuit filed by the League of United Latin American Citizens (LULAC) and three Latino voters against Franklin County, Washington, and its three-member county commission challenging the county’s hybrid electoral scheme."
New Jersey,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-newjersey-01-1.png,"United States v. Union County",2023-05-09,2023-06-13,"Lawsuit filed by the U.S. Department of Justice (DOJ) challenging Union County, New Jersey’s failure to provide adequate assistance, information and election materials to Spanish-speaking voters."
Ohio,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-ohio-01-1.png,"One Person One Vote v. Ohio Ballot Board",2023-05-23,2023-06-12,"Lawsuit filed on behalf of Ohio voters and One Person One Vote challenging the adopted ballot language for Senate Joint Resolution 2, a proposed amendment to the Ohio Constitution that would increase the threshold to pass constitutional amendments from 50% to 60%."
Arizona,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-arizona-01-1.png,"Arizona Republican Party v. Fontes",2022-05-17,2023-06-02,"Lawsuit filed on behalf of the Arizona Republican Party and its chairwoman challenging the state’s no-excuse mail-in voting system."
Mississippi,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-mississippi-01-1.png,"Disability Rights Mississippi v. Fitch",2023-05-31,undefined,"Lawsuit filed by Disability Rights Mississippi, the League of Women Voters of Mississippi, a voter and two individuals who provide voter assistance challenging Senate Bill 2358."
